200510	1191.82	8361	 3.60 	27	-16.9	3.5	0.28	-0.02	1040.2
200511	1233.095	6091	 3.30 	27	-0.7	3.5	0.28	-0.02	1033.5
200512	1336.06	2007	 3.50 	27	44.1	3.75	0.28	-0.02	1011.6
200601	1355.92	-378	 3.80 	29.3	-8.6	3.75	0.22	0.04	964.6
200602	1348.96	-2157	 4.10 	29.3	-53.3	4	0.22	0.04	970.9
200603	1338.04	-77	 3.90 	29.3	11.7	4	0.22	0.04	971.6
200604	1409.905	-2854	 3.50 	29.3	-6.9	4	0.22	0.04	943.4
200605	1380.085	3291	 3.20 	29.3	-1.5	4	0.22	0.04	945.6
200606	1255.57	4787	 3.40 	29.3	0.9	4.25	0.22	0.04	948.9
200607	1273.585	-226	 3.40 	29.3	-6	4.25	0.22	0.04	955.2
200608	1319.395	-1210	 3.40 	29.3	6.8	4.5	0.22	0.04	961.4
200609	1351.445	5969	 3.20 	29.3	8.3	4.5	0.22	0.04	946.2
200610	1342.265	5946	 3.30 	29.3	-1.8	4.5	0.22	0.04	942.3
200611	1399.28	12379	 3.20 	29.3	-4.3	4.5	0.22	0.04	929.5
200612	1409.27	1385	 3.30 	29.3	-14.3	4.5	0.22	0.04	929.8
200701	1392.395	3504	 3.60 	28.7	-56	4.5	0.25	0.18	941
200702	1416.54	3317	 3.70 	28.7	0.6	4.5	0.25	0.18	941.8
200703	1417.765	1263	 3.50 	28.7	-22.2	4.5	0.25	0.18	940.9
200704	1508.795	-2689	 3.40 	28.7	33.1	4.5	0.25	0.18	930.8
200705	1624.305	4079	 3.20 	28.7	0.8	4.5	0.25	0.18	927.7
200706	1760.795	9941	 3.20 	28.7	1.2	4.5	0.25	0.18	923.8
200707	1876.055	8356	 3.30 	28.7	15.2	4.75	0.25	0.18	919.3
200708	1777.755	6902	 3.10 	28.7	7.2	5	0.25	0.18	938.3
200709	1879.135	10190	 3.00 	28.7	14.3	5	0.25	0.18	915.1
200710	1973.045	6695	 3.00 	28.7	2.3	5	0.25	0.18	900.7
200711	1915.355	7409	 3.00 	28.7	-5	5	0.25	0.18	921.1
200712	1890.615	-784	 3.10 	28.7	14.2	5	0.25	0.18	936.1
200801	1731.685	-4004	 3.30 	28	-0.9	5	0.47	0.23	943.9
200802	1679.625	-3906	 3.50 	28	1.5	5	0.47	0.23	939
200803	1623.42	1478	 3.40 	28	-3.8	5	0.47	0.23	990.4
200804	1763.185	-2820	 3.20 	28	-0.2	5	0.47	0.23	1002.6
200805	1846.265	2685	 3.10 	28	9.3	5	0.47	0.23	1030.1
200806	1761.595	1027	 3.10 	28	5.1	5	0.47	0.23	1046
200807	1585.1	-2376	 3.10 	28	24.1	5	0.47	0.23	1012.2
200808	1531.885	-10986	 3.10 	28	-8.3	5.25	0.47	0.23	1089
200809	1435.355	-2502	 3.00 	28	7.6	5.25	0.47	0.23	1207
200810	1175.42	10981	 3.00 	28	-1.4	4.25	0.47	0.23	1291
200811	1065.92	2893	 3.00 	28	-0.7	4	0.47	0.23	1469
200812	1099.07	661	 3.30 	28	-5.9	3	0.47	0.23	1259.5
200901	1157.14	-7365	 3.60 	31.2	-7.2	2.5	0.28	0.16	1379.5
200902	1132.2	7959	 3.90 	31.2	2.7	2	0.28	0.16	1534
200903	1124.695	11497	 4.00 	31.2	-8	2	0.28	0.16	1383.5
200904	1289.765	12476	 3.80 	31.2	-1.6	2	0.28	0.16	1282
200905	1376.065	10725	 3.80 	31.2	-4.9	2	0.28	0.16	1255
200906	1394.035	16305	 3.80 	31.2	-0.4	2	0.28	0.16	1273.9
200907	1468.335	12339	 3.70 	31.2	-2.4	2	0.28	0.16	1228.5
200908	1573.47	4142	 3.70 	31.2	-14.4	2	0.28	0.16	1248.9
200909	1653.14	10681	 3.30 	31.2	-7.4	2	0.28	0.16	1178.1
200910	1624.71	9980	 3.20 	31.2	-7.3	2	0.28	0.16	1182.5
200911	1574.905	12787	 3.30 	31.2	-9.4	2	0.28	0.16	1162.8
200912	1618.21	4508	 3.50 	31.2	-9.3	2	0.28	0.16	1164.5
201001	1659.305	-1999	 5.00 	31	-23.2	2	0.3	0.19	1161.8
201002	1590.245	897	 4.80 	31	-3.1	2	0.3	0.19	1160
201003	1657.27	4167	 4.10 	31	-7.4	2	0.3	0.19	1131.3
201004	1726.53	5230	 3.70 	31	-16.7	2	0.3	0.19	1108.4
201005	1636.415	13880	 3.20 	31	-5.8	2	0.3	0.19	1202.5
201006	1680.025	16969	 3.50 	31	-5.7	2	0.3	0.19	1222.2
201007	1714.51	14560	 3.70 	31	2.4	2.25	0.3	0.19	1182.7
201008	1757.14	4543	 3.30 	31	-1.7	2.25	0.3	0.19	1198.1
201009	1811.045	11757	 3.40 	31	-6.6	2.25	0.3	0.19	1140.2
201010	1880.845	17316	 3.30 	31	-15.8	2.25	0.3	0.19	1125.3
201011	1925.9	6640	 3.00 	31	-2.1	2.5	0.3	0.19	1159.7
201012	1978.84	6001	 3.50 	31	22.5	2.5	0.3	0.19	1134.8
201101	2087.945	1176	 3.80 	31.6	-17.1	2.75	0.4	0.4	1121.5
201102	2021.88	3878	 4.50 	31.6	-5.4	2.75	0.4	0.4	1128.7
201103	1994.415	4798	 4.30 	31.6	-7.5	3	0.4	0.4	1096.7
201104	2156.725	6435	 3.70 	31.6	-3.2	3	0.4	0.4	1071.5
201105	2129.885	6247	 3.20 	31.6	5.2	3	0.4	0.4	1079.2
201106	2080.895	6374	 3.30 	31.6	-11.7	3.25	0.4	0.4	1067.7
201107	2149.035	12989	 3.30 	31.6	0.1	3.25	0.4	0.4	1054.5
201108	1928.98	1692	 3.00 	31.6	-3.3	3.25	0.4	0.4	1066.8
201109	1786.255	7400	 3.00 	31.6	-2.2	3.25	0.4	0.4	1178.1
201110	1810.9	12437	 2.90 	31.6	-1.2	3.25	0.4	0.4	1110
201111	1849.84	11684	 2.90 	31.6	-2	3.25	0.4	0.4	1143
201112	1839.89	7828	 3.00 	31.6	-63.7	3.25	0.4	0.4	1151
201201	1891.915	-3425	 3.50 	32.2	-9.6	3.25	0.22	0.42	1123
201202	1997.445	2170	 4.20 	32.2	-5.8	3.25	0.22	0.42	1118
201203	2011.985	8274	 3.70 	32.2	-3.8	3.25	0.22	0.42	1133
201204	2002.905	7326	 3.50 	32.2	0.3	3.25	0.22	0.42	1130
201205	1890.29	10908	 3.10 	32.2	-1	3.25	0.22	0.42	1180
201206	1842.52	18342	 3.20 	32.2	-6	3.25	0.22	0.42	1145
201207	1827.91	16474	 3.10 	32.2	-5.5	3	0.22	0.42	1130
201208	1903.97	6972	 3.00 	32.2	-1.9	3	0.22	0.42	1134
201209	1943.115	15014	 2.90 	32.2	-1.6	3	0.22	0.42	1111.4
201210	1946.305	16405	 2.80 	32.2	-4.9	2.75	0.22	0.42	1090.7
201211	1899.325	19498	 2.80 	32.2	0.7	2.75	0.22	0.42	1082.9
201212	1967.085	6497	 2.90 	32.2	-2.6	2.75	0.22	0.42	1070.6
201301	1986.425	6528	 3.40 	34.3	-8	2.75	0.13	0.27	1089
201302	1979.8	6818	 3.90 	34.3	-2.9	2.75	0.13	0.27	1083
