200507	70.56	1	-2.437	-0.027	0.1	0.23	3.25	0.28	-0.02	1.4
200508	38.595	1	-3.918	-0.068	-0.1	0.23	3.25	0.28	-0.02	11.7
200509	68.93	1	4.493	-0.192	0	0.23	3.25	0.28	-0.02	2.6
200510	26.39	1	3.583	0.046	0	0.23	3.5	0.28	-0.02	-0.9
200511	41.275	1	-2.27	-0.169	-0.3	0.23	3.5	0.28	-0.02	-6.7
200512	102.965	1	-4.084	-0.007	0.2	0.23	3.75	0.28	-0.02	-21.9
200601	19.86	1	-2.385	0.441	0.3	-0.06	3.75	0.22	0.04	-47
200602	-6.96	0	-1.779	-0.086	0.3	-0.06	4	0.22	0.04	6.3
200603	-10.92	0	2.08	-0.533	-0.2	-0.06	4	0.22	0.04	0.7
200604	71.865	1	-2.777	0.117	-0.4	-0.06	4	0.22	0.04	-28.2
200605	-29.82	0	6.145	-0.069	-0.3	-0.06	4	0.22	0.04	2.2
200606	-124.515	0	1.496	-0.015	0.2	-0.06	4.25	0.22	0.04	3.3
200607	18.015	1	-5.013	0.009	0	-0.06	4.25	0.22	0.04	6.3
200608	45.81	1	-0.984	-0.06	0	-0.06	4.5	0.22	0.04	6.2
200609	32.05	1	7.179	0.068	-0.2	-0.06	4.5	0.22	0.04	-15.2
200610	-9.18	0	-0.023	0.083	0.1	-0.06	4.5	0.22	0.04	-3.9
200611	57.015	1	6.433	-0.018	-0.1	-0.06	4.5	0.22	0.04	-12.8
200612	9.99	1	-10.994	-0.043	0.1	-0.06	4.5	0.22	0.04	0.3
200701	-16.875	0	2.119	-0.143	0.3	-0.07	4.5	0.25	0.18	11.2
200702	24.145	1	-0.187	-0.56	0.1	-0.07	4.5	0.25	0.18	0.8
200703	1.225	1	-2.054	0.006	-0.2	-0.07	4.5	0.25	0.18	-0.9
200704	91.03	1	-3.952	-0.222	-0.1	-0.07	4.5	0.25	0.18	-10.1
200705	115.51	1	6.768	0.331	-0.2	-0.07	4.5	0.25	0.18	-3.1
200706	136.49	1	5.862	0.008	0	-0.07	4.5	0.25	0.18	-3.9
200707	115.26	1	-1.585	0.012	0.1	-0.07	4.75	0.25	0.18	-4.5
200708	-98.3	0	-1.454	0.152	-0.2	-0.07	5	0.25	0.18	19
200709	101.38	1	3.288	0.072	-0.1	-0.07	5	0.25	0.18	-23.2
200710	93.91	1	-3.495	0.143	0	-0.07	5	0.25	0.18	-14.4
200711	-57.69	0	0.714	0.023	0	-0.07	5	0.25	0.18	20.4
200712	-24.74	0	-8.193	-0.05	0.1	-0.07	5	0.25	0.18	15
200801	-158.93	0	-3.22	0.142	0.2	0.32	5	0.47	0.23	7.8
200802	-52.06	0	0.098	-0.009	0.2	0.32	5	0.47	0.23	-4.9
200803	-56.205	0	5.384	0.015	-0.1	0.32	5	0.47	0.23	51.4
200804	139.765	1	-4.298	-0.038	-0.2	0.32	5	0.47	0.23	12.2
200805	83.08	1	5.505	-0.002	-0.1	0.32	5	0.47	0.23	27.5
200806	-84.67	0	-1.658	0.093	0	0.32	5	0.47	0.23	15.9
200807	-176.495	0	-3.403	0.051	0	0.32	5	0.47	0.23	-33.8
200808	-53.215	0	-8.61	0.241	0	0.32	5.25	0.47	0.23	76.8
200809	-96.53	0	8.484	-0.083	-0.1	0.32	5.25	0.47	0.23	118
200810	-259.935	0	13.483	0.076	0	0.32	4.25	0.47	0.23	84
200811	-109.5	0	-8.088	-0.014	0	0.32	4	0.47	0.23	178
200812	33.15	1	-2.232	-0.007	0.3	0.32	3	0.47	0.23	-209.5
200901	58.07	1	-8.026	-0.059	0.3	-0.02	2.5	0.28	0.16	120
200902	-24.94	0	15.324	-0.072	0.3	-0.02	2	0.28	0.16	154.5
200903	-7.505	0	3.538	0.027	0.1	-0.02	2	0.28	0.16	-150.5
200904	165.07	1	0.979	-0.08	-0.2	-0.02	2	0.28	0.16	-101.5
200905	86.3	1	-1.751	-0.016	0	-0.02	2	0.28	0.16	-27
200906	17.97	1	5.58	-0.049	0	-0.02	2	0.28	0.16	18.9
