date,price,sixty
2014.11.14,1194000,
2014.11.17,1205000,
2014.11.18,1220000,
2014.11.19,1218000,
2014.11.20,1210000,
2014.11.21,1223000,
2014.11.24,1220000,
2014.11.25,1190000,
2014.11.26,1201000,
2014.11.27,1264000,
2014.11.28,1287000,
2014.12.01,1295000,
2014.12.02,1295000,
2014.12.03,1298000,
2014.12.04,1300000,
2014.12.05,1302000,
2014.12.08,1319000,
2014.12.09,1349000,
2014.12.10,1317000,
2014.12.11,1305000,
2014.12.12,1286000,
2014.12.15,1273000,
2014.12.16,1279000,
2014.12.17,1266000,
2014.12.18,1266000,
2014.12.19,1328000,
2014.12.22,1345000,
2014.12.23,1339000,
2014.12.24,1343000,
2014.12.26,1352000,
2014.12.29,1329000,
2014.12.30,1327000,
2015.01.02,1330000,
2015.01.05,1333000,
2015.01.06,1295000,
2015.01.07,1307000,
2015.01.08,1314000,
2015.01.09,1314000,
2015.01.12,1316000,
2015.01.13,1339000,
2015.01.14,1345000,
2015.01.15,1334000,
2015.01.16,1316000,
2015.01.19,1343000,
2015.01.20,1372000,
2015.01.21,1395000,
2015.01.22,1378000,
2015.01.23,1386000,
2015.01.26,1389000,
2015.01.27,1400000,
2015.01.28,1378000,
2015.01.29,1360000,
2015.01.30,1365000,
2015.02.02,1368000,
2015.02.03,1366000,
2015.02.04,1359000,
2015.02.05,1358000,
2015.02.06,1372000,
2015.02.09,1395000,
2015.02.10,1378000,
2015.02.11,1355000,
2015.02.12,1344000,
2015.02.13,1361000,
2015.02.16,1374000,
2015.02.17,1377000,
2015.02.23,1367000,
2015.02.24,1367000,
2015.02.25,1379000,
2015.02.26,1375000,
2015.02.27,1357000,
2015.03.02,1423000,
2015.03.03,1418000,
2015.03.04,1437000,
2015.03.05,1422000,
2015.03.06,1442000,
2015.03.09,1420000,
2015.03.10,1421000,
2015.03.11,1474000,
2015.03.12,1447000,
2015.03.13,1457000,
2015.03.16,1470000,
2015.03.17,1497000,
2015.03.18,1503000,
2015.03.19,1470000,
2015.03.20,1464000,
2015.03.23,1467000,
2015.03.24,1476000,
2015.03.25,1485000,
2015.03.26,1421000,
2015.03.27,1421000,
2015.03.30,1428000,
2015.03.31,1441000,
2015.04.01,1423000,
2015.04.02,1434000,
2015.04.03,1434000,
2015.04.06,1470000,
2015.04.07,1462000,
2015.04.08,1479000,
2015.04.09,1483000,
2015.04.10,1490000,
2015.04.13,1479000,
2015.04.14,1474000,
2015.04.15,1446000,
2015.04.16,1477000,
2015.04.17,1450000,
2015.04.20,1430000,
2015.04.21,1444000,
2015.04.22,1461000,
2015.04.23,1451000,
2015.04.24,1410000,
2015.04.27,1395000,
2015.04.28,1366000,
2015.04.29,1385000,
2015.04.30,1410000,
2015.05.04,1400000,
2015.05.06,1362000,
2015.05.07,1370000,
2015.05.08,1338000,
2015.05.11,1336000,
2015.05.12,1331000,
2015.05.13,1333000,
2015.05.14,1340000,
2015.05.15,1326000,
2015.05.18,1320000,
2015.05.19,1338000,
2015.05.20,1366000,
2015.05.21,1352000,
2015.05.22,1350000,
2015.05.26,1362000,
2015.05.27,1314000,
2015.05.28,1309000,
2015.05.29,1307000,
2015.06.01,1291000,
2015.06.02,1303000,
2015.06.03,1273000,
2015.06.04,1337000,
2015.06.05,1341000,
2015.06.08,1314000,
2015.06.09,1282000,
2015.06.10,1262000,
2015.06.11,1257000,
2015.06.12,1277000,
2015.06.15,1270000,
2015.06.16,1255000,
2015.06.17,1254000,
2015.06.18,1265000,
2015.06.19,1266000,
2015.06.22,1281000,
2015.06.23,1321000,
2015.06.24,1302000,
2015.06.25,1269000,
2015.06.26,1278000,
2015.06.29,1281000,
2015.06.30,1268000,
2015.07.01,1295000,
2015.07.02,1299000,
2015.07.03,1268000,
2015.07.06,1230000,
2015.07.07,1240000,
2015.07.08,1239000,
2015.07.09,1265000,
2015.07.10,1259000,
2015.07.13,1266000,
2015.07.14,1225000,
2015.07.15,1235000,
2015.07.16,1282000,
2015.07.17,1305000,
2015.07.20,1275000,
2015.07.21,1263000,
2015.07.22,1253000,
2015.07.23,1234000,
2015.07.24,1229000,
2015.07.27,1230000,
2015.07.28,1230000,
2015.07.29,1263000,
2015.07.30,1215000,
2015.07.31,1185000,
2015.08.03,1175000,
2015.08.04,1182000,
