date,경상수지,경상수지,상품수지,서비스수지,본원소득수지,이전소득수지,무역수지
200904월,12476,"3,511","4,256",-16,-835,107,"5,453"
200905월,10725,"3,154","3,823",-556,205,-318,"4,417"
200906월,16305,"4,892","5,475",-720,479,-342,"6,521"
200907월,12339,"4,055","5,021","-1,241",366,-91,"4,229"
200908월,4142,"1,300","1,921",-761,368,-227,"1,541"
200909월,10681,"3,258","3,973",-661,214,-268,"4,165"
200910월,9980,"3,203","3,546",-506,336,-173,"3,574"
200911월,12787,"4,165","4,851",-644,273,-315,"4,457"
200912월,4508,709,"2,182","-1,510",477,-439,"3,089"
201001월,-1999,-599,891,"-1,596",457,-351,-801
201002월,897,-549,633,"-1,495",550,-237,"1,995"
201003월,4167,"1,217","2,772",-976,-411,-168,"1,733"
201004월,5230,725,"3,334",-561,"-1,514",-533,"3,779"
201005월,13880,"4,923","3,625",933,390,-25,"4,034"
201006월,16969,"5,087","5,348",-571,223,88,"6,794"
201007월,14560,"4,779","4,935",-220,360,-296,"5,002"
201008월,4543,"1,669","2,224",-630,540,-466,"1,206"
201009월,11757,"3,674","4,407",-938,389,-184,"4,409"
201010월,17316,"5,489","5,403",-353,654,-216,"6,339"
201011월,6640,"2,024","3,241",-201,-776,-240,"2,592"
201012월,6001,956,"3,269","-2,017",154,-450,"4,089"
201101월,1176,-654,"1,015","-1,949",746,-466,"2,484"
201102월,3878,906,"1,433",-709,574,-392,"2,066"
201103월,4798,"1,155","2,599",-603,-757,-83,"2,487"
201104월,6435,"1,043","3,377",-518,"-1,486",-329,"4,348"
201105월,6247,"2,100","1,885",-346,627,-65,"2,046"
201106월,6374,"2,231","3,016",-753,244,-276,"1,912"
201107월,12989,"4,167","4,858",-406,109,-393,"4,654"
201108월,1692,641,485,-405,739,-178,410
201109월,7400,"3,085","2,129",293,597,65,"1,231"
201110월,12437,"4,267","3,620",42,685,-81,"3,904"
201111월,11684,"4,341","4,232",-33,387,-245,"3,002"
201112월,7828,"2,786","3,012",-463,426,-188,"2,255"
201201월,-3425,-554,"-1,080",-316,"1,281",-439,"-2,317"
201202월,2170,477,"1,430","-1,378",690,-265,"1,216"
