200001	971
200002	901.12
200003	874.425
200004	784.385
200005	701.8
200006	790.29
200007	770.94
200008	710.045
200009	624.64
200010	549.9
200011	540.495
200012	524.845
200101	564.21
200102	595.91
200103	548.125
200104	536.42
200105	602.76
200106	602.06
200107	556.645
200108	563.68
200109	511.355
200110	522.025
200111	608.555
200112	673.9
200201	739.005
200202	772.73
200203	865.235
200204	886.35
200205	836.8
200206	765.705
200207	748.02
200208	707.22
200209	697.59
200210	629.65
200211	684.495
200212	675.73
200301	630.215
200302	590.57
200303	551.425
200304	576.505
200305	610.03
200306	661.585
200307	693.94
200308	729.485
200309	731.975
200310	740.985
200311	785.24
200312	799.15
200401	843.62
200402	862.605
200403	866.36
200404	896.955
200405	796.625
200406	774.965
200407	755.27
200408	764.52
200409	832.385
200410	848.625
200411	861.515
200412	867.1
200501	900.135
200502	965.045
200503	985.745
200504	949.89
200505	941.445
200506	987.345
200507	1057.905
200508	1096.5
200509	1165.43
200510	1191.82
200511	1233.095
200512	1336.06
200601	1355.92
200602	1348.96
200603	1338.04
200604	1409.905
200605	1380.085
200606	1255.57
200607	1273.585
200608	1319.395
200609	1351.445
200610	1342.265
200611	1399.28
200612	1409.27
200701	1392.395
200702	1416.54
200703	1417.765
200704	1508.795
200705	1624.305
200706	1760.795
200707	1876.055
200708	1777.755
200709	1879.135
200710	1973.045
200711	1915.355
200712	1890.615
200801	1731.685
200802	1679.625
200803	1623.42
200804	1763.185
200805	1846.265
200806	1761.595
200807	1585.1
200808	1531.885
200809	1435.355
200810	1175.42
200811	1065.92
200812	1099.07
200901	1157.14
200902	1132.2
200903	1124.695
200904	1289.765
200905	1376.065
200906	1394.035
200907	1468.335
200908	1573.47
200909	1653.14
200910	1624.71
200911	1574.905
200912	1618.21
201001	1659.305
201002	1590.245
201003	1657.27
201004	1726.53
201005	1636.415
201006	1680.025
201007	1714.51
201008	1757.14
201009	1811.045
201010	1880.845
201011	1925.9
201012	1978.84
201101	2087.945
201102	2021.88
201103	1994.415
201104	2156.725
201105	2129.885
201106	2080.895
201107	2149.035
201108	1928.98
201109	1786.255
201110	1810.9
201111	1849.84
201112	1839.89
201201	1891.915
201202	1997.445
201203	2011.985
201204	2002.905
201205	1890.29
201206	1842.52
201207	1827.91
201208	1903.97
201209	1943.115
201210	1946.305
201211	1899.325
201212	1967.085
201301	1986.425
201302	1979.8
201303	1989.97
201304	1949.225
201305	1974.43
201306	1885.545
201307	1865.16
201308	1888.9
201309	1969.515
201310	2022.245
201311	2007.06
201312	2000.16
201401	1956.825
201402	1933.34
201403	1951.72
201404	1984.12
201405	1978.655
201406	1990.95
201407	2039.305
201408	2057.71
201409	2039.945
201410	1955.005
201411	1958.935
201412	1935.885
201501	1920.2
201502	1963.09
201503	2008.13
201504	2107.09
201505	2108.345
201506	2059.67
201507	2047.295
201508	1919.58
201509	1932.475
201510	2011.675
201511	1999.485
201512	1972.775
201601	1892.29
201602	1873.75
201603	1972.325
201604	1988.94
201605	1964.755
201606	1964.01
201607	1987.51
201608	2028.045
201609	2032.68
201610	2036.36
201611	1973.15
201612	2007.055
201701	2053.35
201702	2080.64
201703	2125.05
201704	2167.43
201705	2292.27
201706	2369.215
201707	2413
201708	2372.335
201709	2371.715
201710	2474.71
201711	2517.955
201712	2463.045
201801	2536.52
201802	2465.235
201803	2441.755
201804	2460.645
201805	2458.075
201806	2387.975
201807	2285.745
201808	2270.485
201809	2310.76
201810	2169.03
201811	2060.03
